"","nest","population","species","lat","lon","filename_forward","PCR_run","SRA_Run","readID"
"X424","WEE_39","WEE","dumicola","-28.825537","29.958478","X424_S8_L001_R1_001.fastq.gz",1,"SRR6489485","X424"
"X425","WEE_39","WEE","dumicola","-28.825537","29.958478","X425_S9_L001_R1_001.fastq.gz",1,"SRR6489483","X425"
"X435","PON_61","PON","dumicola","-27.363147","31.877365","X435_S10_L001_R1_001.fastq.gz",1,"SRR6489461","X435"
"X436","PON_61","PON","dumicola","-27.363147","31.877365","X436_S11_L001_R1_001.fastq.gz",1,"SRR6489465","X436"
"X478","WEE_20","WEE","dumicola","-28.867625","30.001363","X478_S12_L001_R1_001.fastq.gz",1,"SRR6489466","X478"
"X479","WEE_20","WEE","dumicola","-28.867625","30.001363","X479_S13_L001_R1_001.fastq.gz",1,"SRR6489467","X479"
"X480","WEE_20","WEE","dumicola","-28.867625","30.001363","X480_S14_L001_R1_001.fastq.gz",1,"SRR6489468","X480"
"X548","PON_56","PON","dumicola","-27.354406","31.879969","X548_S15_L001_R1_001.fastq.gz",1,"SRR6489458","X548"
"M523","PON_52","PON","mimosarum","-27.323724","31.875004","M523_S135_L001_R1_001.fastq.gz",2,"SRR6489529","M523"
"M589","KRU_27","KRU","dumicola","-22.940936","31.242621","M589_S93_L001_R1_001.fastq.gz",2,"SRR6489480","M589"
"M590","KRU_27","KRU","dumicola","-22.940936","31.242621","M590_S94_L001_R1_001.fastq.gz",2,"SRR6489477","M590"
"M662","PON_55","PON","dumicola","-27.332273","31.872024","M662_S103_L001_R1_001.fastq.gz",2,"SRR6489437","M662"
"M663","PON_55","PON","dumicola","-27.332273","31.872024","M663_S104_L001_R1_001.fastq.gz",2,"SRR6489469","M663"
"M664","PON_55","PON","dumicola","-27.332273","31.872024","M664_S105_L001_R1_001.fastq.gz",2,"SRR6489470","M664"
"M754","PON_37","PON","dumicola","-27.338737","31.917223","M754_S106_L001_R1_001.fastq.gz",2,"SRR6489438","M754"
"M877","PAA_1","PAA","dumicola","-33.7982","18.87121667","M877_S110_L001_R1_001.fastq.gz",2,"SRR6489471","M877"
"M878","PAA_1","PAA","dumicola","-33.7982","18.87121667","M878_S111_L001_R1_001.fastq.gz",2,"SRR6489472","M878"
"M894","PAA_7","PAA","dumicola","-33.84845","18.9636","M894_S112_L001_R1_001.fastq.gz",2,"SRR6489442","M894"
"M895","PAA_7","PAA","dumicola","-33.84845","18.9636","M895_S114_L001_R1_001.fastq.gz",2,"SRR6489441","M895"
"M898","PAA_2","PAA","dumicola","-33.79816667","18.87153333","M898_S115_L001_R1_001.fastq.gz",2,"SRR6489446","M898"
"X483","WEE_23","WEE","dumicola","-28.85557","30.009273","X483_S85_L001_R1_001.fastq.gz",2,"SRR6489499","X483"
"M607","ADDO_8","ADDO","dumicola","-33.445265","25.731232","MB302_S40_L001_R1_001.fastq.gz",3,"SRR6489453","MB302"
"M608","ADDO_8","ADDO","dumicola","-33.445265","25.731232","MB303_S41_L001_R1_001.fastq.gz",3,"SRR6489452","MB303"
"M555","WEE_23","WEE","dumicola","-28.85557","30.009273","MB311_S44_L001_R1_001.fastq.gz",3,"SRR6489481","MB311"
"X485","WEE_23","WEE","dumicola","-28.85557","30.009273","MB312_S45_L001_R1_001.fastq.gz",3,"SRR6489455","MB312"
"M651","ADDO_16","ADDO","dumicola","-33.443757","25.733963","MB313_S46_L001_R1_001.fastq.gz",3,"SRR6489492","MB313"
"M652","ADDO_16","ADDO","dumicola","-33.443757","25.733963","MB314_S47_L001_R1_001.fastq.gz",3,"SRR6489491","MB314"
"M660","ADDO_9","ADDO","dumicola","-33.444982","25.73189","MB315_S48_L001_R1_001.fastq.gz",3,"SRR6489451","MB315"
"M661","ADDO_9","ADDO","dumicola","-33.444982","25.73189","MB316_S49_L001_R1_001.fastq.gz",3,"SRR6489450","MB316"
"M745","KRU_12","KRU","dumicola","-22.987338","31.277059","MB317_S50_L001_R1_001.fastq.gz",3,"SRR6489449","MB317"
"M746","KRU_12","KRU","dumicola","-22.987338","31.277059","MB318_S51_L001_R1_001.fastq.gz",3,"SRR6489448","MB318"
"M747","KRU_12","KRU","dumicola","-22.987338","31.277059","MB319_S52_L001_R1_001.fastq.gz",3,"SRR6489447","MB319"
"M886","PAA_12","PAA","dumicola","-33.7979","18.87587","MB322_S53_L001_R1_001.fastq.gz",3,"SRR6489444","MB322"
"reBC44_1","B_31","B","sarasinorum","15.4872","74.976","MB326_S54_L001_R1_001.fastq.gz",3,"SRR6489671","MB326"
